# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr2_96890408_96892041	SEMA4C (-21254), FAHD2B (+203614)
chr16_77457002_77457385	NUDT7 (-265320), ADAMTS18 (-22080)
chr11_29723035_29723567	KCNA4 (+293722)
chr16_48212123_48212457	ABCC12 (-65520), ABCC11 (+19981)
chr8_48159734_48160132	UBE2V2 (+151533), EFCAB1 (+575299)
chr6_39905856_39906504	MOCS1 (+21536), DAAM2 (+113162)
chr19_886998_887388	MED16 (+6025), CFD (+27529)
chr21_26811095_26811541	CYYR1 (-238034), ADAMTS1 (+34091)
chr11_25243074_25243432	LUZP2 (+746075)
chrX_35439233_35439720	TMEM47 (-782189)
chr3_95459891_95460509	NONE
chr17_67110627_67110961	CACNG1 (+66204), HELZ (+134389)
chr6_141178194_141179045	NMBR (+910179)
chr2_22906683_22907099	KLHL29 (-478326)
chr2_45892763_45893404	EPAS1 (-404318), PRKCE (+241310)
chr2_173659445_173660294	CDCA7 (+305009), SP3 (+305832)
chr14_89678625_89679067	FOXN3 (-59716), EFCAB11 (+275843)
chr4_130576330_130576867	NONE
chr10_102333909_102334588	NFKB2 (-60348), GBF1 (+88717)
chr16_79970590_79971212	DYNLRB2 (-569833), MAF (-370187)
chr13_54328667_54329463	NONE
chr3_150016011_150016410	TSC22D2 (-392124), PFN2 (-45102)
chr12_64946172_64946734	TBC1D30 (+121881), WIF1 (+175113)
chr2_21424021_21424592	APOB (-380234)
chr6_97125230_97125743	MMS22L (+157689), KLHL32 (+200758)
chr12_72053499_72054177	TRHDE (-218845), TPH2 (+114992)
chr4_137474541_137475342	PCDH18 (+57533)
chr13_98253283_98253650	RNF113B (-76202), STK24 (+268531)
chr16_63315113_63315501	NONE
chr19_56132367_56132948	ZNF787 (-11378), ZNF444 (-8529)
chr10_13978232_13978887	FRMD4A (+352324), ENSG00000282246 (+368513)
chr20_60486389_60486812	CDH4 (-765825), CDH26 (+528174)
chr20_37317632_37318024	SRC (-28326), MANBAL (+20932)
chr11_12606799_12607145	TEAD1 (-67619), PARVA (+229787)
chr11_70335220_70335688	CTTN (-63087), PPFIA1 (+64754)
chr11_29603427_29603799	KCNA4 (+413410)
chr10_90960308_90960825	PCGF5 (-259584), ANKRD1 (-39291)
chr10_128518082_128518552	MGMT (-948867), MKI67 (-391932)
chr2_236501639_236502003	ASB18 (-237476), IQCA1 (+1876)
chr7_118580811_118581233	ANKRD7 (+356346)
chr2_97727862_97728289	ZAP70 (+14516), TMEM131 (+267815)
chr11_15275033_15275444	INSC (+162815)
chr16_58264960_58265428	CCDC113 (+15258), PRSS54 (+29853)
chr20_48554885_48555457	SULF2 (-768585), PREX1 (+272712)
chr2_149901262_149901553	MMADHC (-313806), RND3 (+586259)
chr11_23903160_23903569	LUZP2 (-593813)
chr2_58796403_58797324	FANCL (-555514)
chr2_16495223_16495628	FAM49A (+170408), MYCN (+554862)
chr6_56863277_56863830	BEND6 (-91738), DST (-11638)
chr1_116950112_116951018	CD101 (-51247), PTGFRN (+40508)
chr10_14691356_14691718	FRMD4A (-360653), CDNF (+146535)
chr17_77300218_77300848	TNRC6C (-704523), SEPT9 (+19123)
chr18_32507466_32508034	GAREM1 (-37318), KLHL14 (+265312)
chr15_73286213_73286602	HCN4 (+82856), NEO1 (+234698)
chr22_25728206_25728619	MYO18B (-13821), GRK3 (+163564)
chr5_174872260_174872616	MSX2 (+147905), DRD1 (+571770)
chr15_29602835_29603356	FAM189A1 (-32373), TJP1 (+218932)
chr20_783741_784200	FAM110A (-49806), SLC52A3 (-15387)
chr4_82965694_82966133	LIN54 (+44915), THAP9 (+65162)
chr3_55167781_55168253	LRTM1 (-239943), WNT5A (+319625)
chr17_34068519_34069031	ASIC2 (-775787), CCL2 (-186510)
chr11_3246565_3247122	MRGPRE (-14458), ZNF195 (+132323)
chr11_96512957_96513437	JRKL (+123203)
chr10_36441304_36441911	FZD8 (-799330), ANKRD30A (-684249)
chr2_54122752_54123269	TSPYL6 (+133261), ACYP2 (+151908)
chr8_50082711_50083023	SNTG1 (+171194)
chr11_106103127_106103604	AASDHPPT (+25877), GUCY1A2 (+915079)
chr7_100923732_100924557	ACHE (-28225), MUC3A (-25410)
chr9_78866362_78866995	TLE4 (-705936), PSAT1 (+569536)
chr6_146135198_146135672	RAB32 (-408258), GRM1 (+107653)
chr21_35850659_35851357	RUNX1 (-801664), SETD4 (+209253)
chr7_130474046_130474708	CEP41 (-33140), MEST (-17716)
chr15_61526163_61526519	RORA (-898878), VPS13C (+534107)
chr4_21009776_21010391	PACRGL (+309671), KCNIP4 (+938715)
chr12_64006094_64006690	SRGAP1 (+162099), C12orf66 (+215873)
chr14_58129961_58130545	SLC35F4 (-264191), C14orf37 (+21960)
chr10_80580379_80580934	TSPAN14 (+126491)
chr4_48024739_48025193	NIPAL1 (+8192), TXK (+109290)
chr3_150082146_150082728	TSC22D2 (-325898), PFN2 (-111328)
chr16_67312648_67313077	KCTD19 (+13900), PLEKHG4 (+35353)
chr16_74421040_74421972	CLEC18B (-114)
chr5_60102849_60103324	PDE4D (-209289), DEPDC1B (+597074)
chr13_50334740_50335577	RNASEH2B (-574519), KCNRG (+319905)
chr8_69438139_69438752	SULF1 (-28178)
chr7_41830522_41831310	INHBA (-127808), GLI3 (+406097)
chr10_23912729_23913283	KIAA1217 (-296158), OTUD1 (+473548)
chr1_102858503_102859271	COL11A1 (+249604)
chrY_19125604_19126145	HSFY2 (-352140), KDM5D (+619048)
chr1_201263034_201263490	PKP1 (-20190), IGFN1 (+72437)
chr6_153786314_153786697	RGS17 (-742463), OPRM1 (-223995)
chr20_60708961_60709353	CDH4 (-543269), CDH26 (+750730)
chr12_9958297_9958926	CLEC12A (+7296), CLEC1B (+40668)
chr21_31371058_31371535	KRTAP19-8 (-332821), TIAM1 (+187680)
chr6_168105869_168106710	FRMD1 (-27131), DACT2 (+213432)
chr14_66281136_66282080	GPHN (-225799), FUT8 (+871016)
chr1_24064334_24064746	SRSF10 (-84221), MYOM3 (+47635)
chr9_86585403_86586476	ZCCHC6 (-231528), GAS1 (+361249)
chr8_116183951_116184413	TRPS1 (-515181), EIF3H (+571639)
chr10_126403450_126404076	ADAM12 (-15308), C10orf90 (+117678)
chr5_67985756_67986223	CD180 (-789191), PIK3R1 (-229730)
chr4_100394115_100394600	DDIT4L (-203890), EMCN (+123735)
chr12_105617089_105617605	APPL2 (-381264), NUAK1 (+522686)
chr7_15489490_15489815	DGKB (-586292), AGMO (+72362)
chr13_94006318_94006729	DCT (+473158), GPC6 (+779682)
chr16_25633424_25634056	ZKSCAN2 (-375809), HS3ST4 (-58286)
chrX_48513580_48513966	EBP (-7385), PORCN (+3995)
chr20_24042815_24043869	SYNDIG1 (-425857), GGTLC1 (-54563)
chr20_12166094_12166499	SPTLC3 (-842697), BTBD3 (+275469)
chr9_68419808_68420216	PGM5 (+63113), TMEM252 (+120855)
chr4_4980593_4981110	CYTL1 (+38620), MSX1 (+121186)
chr9_127236973_127237301	ANGPTL2 (-114254), GARNL3 (-27389)
chr20_38755689_38756036	PPP1R16B (-49842), ACTR5 (+7421)
chr13_28340707_28341154	FLT1 (+154164), PAN3 (+202425)
chr10_111376578_111377340	ADRA2A (+299796), GPAM (+806804)
chr1_20083132_20083640	PLA2G5 (+13178), PLA2G2D (+36171)
chr11_114209196_114210101	NNMT (-48182), ZBTB16 (+150056)
chr10_63722252_63722891	REEP3 (+201209)
chr3_83440126_83440752	NONE
chr3_86418900_86419449	VGLL3 (+571932), CADM2 (+692693)
chr14_78653286_78653685	NRXN3 (+410449)
chrX_42302607_42303022	CASK (-379800), PPP1R2P9 (+475432)
chr2_226524068_226524682	IRS1 (+275384)
chr10_37015610_37016388	ANKRD30A (-109858)
chr1_222127572_222128241	DUSP10 (-385731), HHIPL2 (+420196)
chr13_110955079_110955724	ARHGEF7 (-159875), ANKRD10 (-40333)
chr12_89970828_89971331	ATP2B1 (-262249), CCER1 (+984096)
chr2_108101533_108101888	SULT1C3 (-145484), SLC5A7 (+115172)
chr16_77807208_77807728	CLEC3A (-215047), VAT1L (+18938)
chr3_177657091_177657696	KCNMB2 (-901306), TBL1XR1 (-460916)
chr12_66365536_66366040	HELB (+63243), GRIP1 (+313185)
chr18_10771219_10771929	NAPG (+245540), PIEZO2 (+377014)
chr7_103680235_103681180	SLC26A5 (-234531), RELN (+308808)
chr2_11962928_11963377	TRIB2 (-753736), LPIN1 (+285558)
chr11_126919311_126919712	KIRREL3 (+81247), ST3GAL4 (+513730)
chr2_109049161_109049581	SH3RF3 (-79977), EDAR (-59999)
chr11_95142151_95142552	ENDOD1 (+52542), SESN3 (+88845)
chr7_31539458_31540273	PPP1R17 (-146849), CCDC129 (+10191)
chr1_224625732_224626355	DNAH14 (-303623), CNIH3 (+9751)
chr8_37336698_37337092	ZNF703 (-358856), KCNU1 (+552521)
chr1_59707147_59707585	HOOK1 (-107495), FGGY (+410385)
chr3_8638620_8639307	SSUH2 (+5834), LMCD1 (+137257)
chr8_121246366_121247171	SNTB1 (-433496), HAS2 (+394621)
chr9_112295124_112295540	SUSD1 (-120065), PTBP3 (+37694)
chr4_160041845_160042174	RAPGEF2 (+774273)
chr2_188979032_188979566	COL3A1 (+4979), COL5A2 (+200580)
chr2_46202426_46202981	EPAS1 (-94698), PRKCE (+550930)
chr17_13266357_13266963	ELAC2 (-248473), HS3ST3A1 (+335267)
chr7_140241894_140242702	KDM7A (-65263), SLC37A3 (+156251)
chr3_156787027_156787517	TIPARP (+112427), CCNL1 (+372941)
chr22_46256189_46256642	CDPF1 (-5737), PKDREJ (+6939)
chr5_166856809_166857217	TENM2 (-897990)
chr12_62760481_62761150	PPM1H (+174221), MON2 (+293999)
chr6_72865584_72865934	KCNQ5 (+243967), KHDC1 (+444456)
chr5_83251745_83252232	VCAN (-219476), XRCC4 (+174396)
chr2_239858290_239858711	HDAC4 (-457552), NDUFA10 (+166901)
chr8_6197371_6197845	MCPH1 (-208984)
chr8_101018762_101019368	YWHAZ (-66082), ZNF706 (+186222)
chr10_88152802_88153143	KLLN (-289536), RNLS (+430240)
chr13_109962638_109963060	IRS2 (-176281), COL4A1 (+344300)
chr18_63099708_63100239	BCL2 (+220154), PHLPP1 (+384524)
chr3_24472398_24472731	THRB (+22257), NR1D2 (+527305)
chr11_125535385_125536009	FEZ1 (-39387), EI24 (-33519)
chr13_48796935_48797466	FNDC3A (-179408), CYSLTR2 (+90646)
chr11_12020124_12020897	MICAL2 (-90080), DKK3 (-10742)
chr10_130383113_130383472	GLRX3 (+246894)
chr22_25956772_25957247	SEZ6L (-212565), MYO18B (+214776)
chr12_44331284_44331868	TMEM117 (+495478), NELL2 (+545521)
chr6_86436404_86437103	SYNCRIP (-793469), HTR1E (-500552)
chr4_103364104_103364468	CENPE (-165877), TACR3 (+355530)
chr10_127877788_127878303	CLRN3 (+14901), FOXI2 (+140811)
chrX_63361495_63361996	SPIN4 (-10402), ARHGEF9 (+393367)
chr20_19714212_19715130	RIN2 (-171850), SLC24A3 (+502025)
chrX_94424418_94425011	FAM133A (+750702)
chr10_35988459_35988818	FZD8 (-346361)
chrX_148567334_148568101	AFF2 (+67099), IDS (+937629)
chr5_161252609_161253601	ATP10B (-400893), GABRB2 (+295019)
chr12_114037313_114037785	RBM19 (-71243), TBX5 (+370893)
chr9_22831369_22831775	DMRTA1 (+384731), ELAVL2 (+994493)
chr8_53411888_53412181	OPRK1 (-160338), ATP6V1H (+431227)
chr7_70383239_70383912	GALNT17 (-748593), AUTS2 (+784243)
chr18_69951239_69951698	CD226 (+5527), DOK6 (+550414)
chr5_168093208_168093611	WWC1 (-198740), TENM2 (+338407)
chr1_219518672_219519049	ZC3H11B (+94284), LYPLAL1 (+345017)
chr4_38152403_38152942	KLF3 (-511523), PTTG2 (+192238)
chr3_90115454_90116022	NONE
chr8_57062894_57063383	FAM110B (-931415), IMPAD1 (-69295)
chr14_79306274_79306977	DIO2 (+904874)
chr2_169348467_169348889	LRP2 (+14007), DHRS9 (+281643)
chr2_239704302_239704832	HDAC4 (-303618), NDUFA10 (+320835)
chr2_29361435_29362051	CLIP4 (+246317), ALK (+559823)
chr12_127987071_127987546	TMEM132C (-280094)
chr18_57188919_57189323	ST8SIA3 (-161692), BOD1L2 (+42059)
chr10_29881453_29881952	SVIL (-246731), JCAD (+177821)
chr6_8234260_8234707	EEF1E1 (-131906), SLC35B3 (+200999)
chr17_43043556_43043957	RND2 (+18516), BRCA1 (+81726)
chr5_133714004_133714539	FSTL4 (-101708), C5orf15 (+254515)
chr2_162244637_162245205	FAP (-1386)
chr16_65599735_65600843	CDH5 (-766341), CDH11 (-478091)
chr6_62013684_62014062	KHDRBS2 (+272354)
chr1_154616890_154617314	ADAR (-8896), KCNN3 (+253176)
chr7_19572714_19573197	FERD3L (-427535), TWISTNB (+136131)
chr11_32081077_32081612	PAX6 (-270035), RCN1 (-9559)
chr11_47650997_47651765	MTCH2 (-8758), AGBL2 (+63979)
chr3_3468540_3469457	LRRN1 (-330438), CRBN (-289289)
chr10_14191072_14191817	FRMD4A (+139439), ENSG00000282246 (+581398)
chr10_126804532_126804936	C10orf90 (-283293), DOCK1 (-100722)
chr19_52936305_52936756	ZNF888 (-13050), ENSG00000283088 (+26237)
chr7_36972203_36972548	AOAH (-247927), ELMO1 (+476873)
chr3_125513753_125514232	ZNF148 (-138639), SNX4 (+6204)
chr2_170226217_170226917	SP5 (-488784), MYO3B (+48422)
chr3_64674598_64674972	PRICKLE2 (-449304), ADAMTS9 (+13215)
chr2_75589559_75590035	MRPL19 (-56986), EVA1A (-20075)
chr14_40058954_40059714	FBXO33 (-626834)
chr4_1323837_1324834	UVSSA (-22980), MAEA (+34485)
chr6_148392490_148393091	UST (-354537), SASH1 (+50198)
chr14_67653773_67654110	VTI1B (+20889), ARG2 (+34144)
chr6_148064465_148065204	SASH1 (-277758), STXBP5 (+860302)
chr2_18720307_18721009	NT5C1B-RDH14 (-131096), OSR1 (+637995)
chr1_208189295_208189795	CD34 (-278143), PLXNA2 (+54775)
chr1_55827898_55828607	USP24 (-613140), PLPP3 (+751315)
chr13_80599585_80600014	SPRY2 (-260141)
chr10_107290647_107291141	SORCS1 (-126360)
chr3_154759846_154760493	GPR149 (-330455), MME (-319477)
chr6_33122336_33122823	HLA-DPA1 (-41870), COL11A2 (+69919)
chr2_126676056_126676656	TEX51 (-222559), GYPC (+20423)
chr11_110366695_110367306	RDX (-70289), FDX1 (-62882)
chr17_65710834_65711260	AXIN2 (-149400), CEP112 (+480822)
chr14_24668344_24668675	GZMB (-34243), STXBP6 (+381787)
chr5_109338016_109338432	PJA2 (+71770), FER (+590402)
chr4_72176603_72177166	NPFFR2 (+145081), ADAMTS3 (+392501)
chr8_133579670_133580790	ST3GAL1 (-8305)
chr5_170826169_170826657	RANBP17 (-35457), GABRP (+43731)
chr4_153134965_153135341	TRIM2 (-69313), ARFIP1 (+355216)
chr3_95815551_95816399	MTRNR2L12 (+802261)
chr7_154541690_154542023	PAXIP1 (+461227), DPP6 (+489177)
chr21_37842768_37843273	KCNJ6 (+73425), DYRK1A (+422721)
chr22_49070461_49070997	FAM19A5 (+581269), BRD1 (+754075)
chr4_183360333_183361060	CDKN2AIP (-83894), CLDN24 (-38271)
chr8_37142738_37143764	ZNF703 (-552500), KCNU1 (+358877)
chr11_37177019_37177931	RAG2 (-579196)
chr6_22668298_22669000	PRL (-371148)
chr9_82565362_82565888	RASEF (+497503), SPATA31D1 (+576853)
chr14_98011949_98012408	NONE
chr22_27251017_27251782	MN1 (+550098), CRYBA4 (+629436)
chr8_40624086_40624548	ZMAT4 (+273508), C8orf4 (+470862)
chr5_160966990_160967510	ATP10B (-115038), GABRB2 (+580874)
chr15_67904331_67904666	PIAS1 (-150077), SKOR1 (+84795)
chr7_33804277_33804727	BMPER (-100409), BBS9 (+674970)
chr9_76687696_76688316	PRUNE2 (+218081), GCNT1 (+246340)
chr3_198030658_198031140	LMLN (+70677)
chr22_33605634_33606206	SYN3 (-547548), LARGE1 (+314501)
chr16_20649411_20649980	ACSM2B (-73329), ACSM1 (+41560)
chr1_101084707_101085224	S1PR1 (-151922), DPH5 (-59194)
chr3_73148240_73148948	PPP4R2 (+151809), PDZRN3 (+476346)
chr4_3019124_3019419	HTT (-55409), GRK4 (+55544)
chr3_112786134_112786544	CCDC80 (-145070), CD200R1L (+59611)
chr14_44609683_44610064	FSCB (-102595), KLHL28 (+351258)
chr17_14488568_14489146	HS3ST3B1 (+187774), PMP22 (+773732)
chr2_37570749_37571370	CDC42EP3 (+101131), QPCT (+226486)
chr9_10265236_10265631	PTPRD (-231644)
chr8_125541000_125541680	TRIB1 (+111019)
chr2_178315549_178315881	OSBPL6 (+121234), PRKRA (+135516)
chr11_58790133_58790551	GLYAT (-65846), GLYATL2 (+54442)
chr1_185565006_185565955	IVNS1ABP (-248152), HMCN1 (-169070)
chr6_22352727_22353435	PRL (-55580)
chr13_108573562_108574072	MYO16 (-55406), TNFSF13B (+304099)
chr7_91691688_91692088	MTERF1 (+188832), FZD1 (+427524)
chr1_225762054_225763093	ENAH (-109432), SRP9 (-15255)
chr6_161511669_161512083	AGPAT4 (-237815)
chr13_108585196_108585634	MYO16 (-43808), TNFSF13B (+315697)
chr14_91198758_91199276	GPR68 (+54908), C14orf159 (+84647)
chr2_33015502_33015841	RASGRP3 (-460556), LTBP1 (+68700)
chr15_85727299_85727871	KLHL25 (+67445), AKAP13 (+346856)
chr5_146588822_146589391	GPR151 (-72917), PPP2R2B (+466920)
chr1_214966259_214966738	KCNK2 (-116737), CENPF (+363304)
chr3_67094715_67095723	KBTBD8 (+96912), SUCLG2 (+559391)
chr3_121924555_121925222	SLC15A2 (+30800), ILDR1 (+97315)
chr13_28545710_28546168	POMP (-113165), FLT1 (-50844)
chr3_46109236_46109677	XCR1 (-81715), CCR1 (+98939)
chr16_87526891_87527401	JPH3 (-75759), ZCCHC14 (-35101)
chr8_3704157_3704606	NONE
chr14_54502573_54502899	GMFB (-13540), CGRRF1 (-7092)
chr12_5104246_5104730	NTF3 (-327625), KCNA5 (+60499)
chr13_22596276_22596966	SGCG (-584331), FGF9 (+925238)
chr2_11822982_11823684	TRIB2 (-893556), LPIN1 (+145738)
chr8_52985767_52986195	NPBWR1 (+47550), OPRK1 (+265716)
chr17_13952329_13952983	HS3ST3A1 (-350729), COX10 (-116873)
chr14_54600155_54601077	SAMD4A (+33004), GCH1 (+302236)
chr2_62102596_62103047	B3GNT2 (-93291), COMMD1 (+197175)
chr15_96239745_96240185	NR2F2 (-90752)
chr16_19843345_19843694	KNOP1 (-125286), GPRC5B (+41397)
chr2_236731772_236732780	COPS8 (-353036), ACKR3 (+162635)
chr1_30450737_30451217	MATN1 (+272610)
chr8_25392780_25393213	GNRH1 (+31657), DOCK5 (+208132)
chr1_169968070_169968432	SCYL3 (-74292), KIFAP3 (+106444)
chr8_79803638_79804003	HEY1 (-35964), MRPS28 (+226450)
chr11_112902371_112903097	PLET1 (-641874), NCAM1 (-58541)
chr20_43021939_43022355	PTPRT (+167822)
chr16_47833802_47834275	ABCC12 (+312731), PHKB (+372712)
chrX_100478779_100479321	TNMD (-105752), PCDH19 (-68777)
chr1_208432074_208432664	PLXNA2 (-188049)
chr10_10959851_10960227	CELF2 (-57891)
chr18_21215472_21216056	GREB1L (-147829), ROCK1 (-103913)
chr8_142837983_142838776	GML (+3579), CYP11B1 (+41466)
chr10_6305402_6305813	PFKFB3 (+159292), PRKCQ (+274693)
chr3_60898451_60898746	FHIT (+352860)
chr1_220943671_220944162	HLX (+64517), DUSP10 (+798259)
chr8_62218655_62219070	ASPH (-504304), NKAIN3 (-30079)
chr4_42955904_42956359	GRXCR1 (+62865)
chr5_30832668_30833045	CDH6 (-360893)
chr1_218179282_218179891	RRP15 (-105700), SPATA17 (+548263)
chrX_79096244_79096726	GPR174 (-74487), P2RY10 (+151064)
chr3_23629547_23629964	UBE2E1 (-176147), UBE2E2 (+426463)
chr3_154837942_154838290	GPR149 (-408401), MME (-241531)
chr14_32543760_32544325	NPAS3 (-395274), AKAP6 (+214770)
chr5_71971693_71972252	MAP1B (-135261), CARTPT (+252810)
chr3_61184817_61185537	FHIT (+66282)
chr2_78554014_78554664	REG3G (-471362)
chr4_140939564_140940152	TBC1D9 (-183738), RNF150 (+192984)
chr1_38529348_38529872	POU3F1 (-482816), RRAGC (+330213)
chrX_63283401_63283731	SPIN4 (+67778)
chr6_77391109_77391687	HTR1B (+72375)
chr2_66888811_66889435	ETAA1 (-508196), MEIS1 (+453723)
chrY_3012927_3013879	TGIF2LY (-565712), ZFY (+77752)
chr8_135235750_135236485	ZFAT (-523080), KHDRBS3 (-221339)
chr2_107361784_107362747	ST6GAL2 (-475620), RGPD4 (-464671)
chr15_87895039_87895808	NTRK3 (+361307)
chr16_5738577_5739155	EEF2KMT (-641058), RBFOX1 (-280837)
chr10_87316_87714	ZMYND11 (-47554), TUBB8 (-37926)
chr11_4879880_4880213	OR51T1 (-1772)
chrX_44170730_44171262	NDP (-197492), EFHC2 (+172676)
chr4_174111398_174111823	HAND2 (-581382), CEP44 (-172293)
chr4_3631544_3632363	ADRA2C (-134444), LRPAP1 (-99395)
chr4_184756494_184756786	CENPU (-22507), ACSL1 (+70178)
chr2_232078177_232078605	ALPP (-300143), DIS3L2 (+116808)
chr1_208090298_208091201	CD34 (-179348), PLXNA2 (+153570)
chr5_9814997_9815645	TAS2R1 (-184966), FAM173B (+434565)
chr14_51590509_51591024	FRMD6 (-61180), TMX1 (+350599)
chr11_59787001_59787425	MRPL16 (+23659), STX3 (+32154)
chr15_39502637_39503177	RASGRP1 (-938101), THBS1 (-78186)
chr13_48620985_48621534	RCBTB2 (-88004), CYSLTR2 (-85295)
chr4_87516630_87517052	SPARCL1 (+12662), NUDT9 (+94259)
chr5_174361544_174361958	MSX2 (-362782), HGNC:24955 (+316147)
chr8_109745023_109745547	SYBU (-53494), KCNV1 (+230562)
chr5_64018789_64019270	RNF180 (-146852), HTR1A (-56897)
chr13_106367171_106367905	EFNB2 (+167576), DAOA (+901249)
chr3_161139326_161139945	NMD3 (-81672), B3GALNT1 (-34285)
chr3_45092165_45093109	CDCP1 (+53785), CLEC3B (+66454)
chr5_63262214_63262971	LRRC70 (+683858), HTR1A (+699540)
chr8_93282189_93282739	FAM92A (-418043), TRIQK (-316319)
chr9_108812436_108813042	ACTL7B (+44228)
chr2_164910238_164910893	COBLL1 (-68398), SLC38A11 (+44920)
chr15_55607312_55608332	PYGO1 (-18875), PRTG (+135157)
chrY_13000691_13001154	DDX3Y (+96815), UTY (+479747)
chr7_40959069_40959638	INHBA (+743754), SUGCT (+824377)
chr7_115634636_115635014	TFEC (+395916), MDFIC (+712671)
chr2_99974404_99974774	REV1 (-484554), AFF3 (+131539)
chr1_236835228_236836314	MTR (+40461), MT1HL1 (+168647)
chr3_81947388_81947773	GBE1 (-185420)
chr2_215903908_215904552	FN1 (-468058), MREG (+109383)
chr2_125822641_125823044	GYPC (-833090)
chrX_20339016_20339533	RPS6KA3 (-72435)
chr20_10689781_10690051	JAG1 (-15809)
chr1_239338049_239338934	CHRM3 (-290581)
chr1_234975038_234975589	IRF2BP2 (-365789), TOMM20 (+153622)
chr15_69739207_69739689	RPLP1 (+286664), TLE3 (+358728)
chr8_60294607_60295046	RAB2A (-222030), CA8 (-13415)
chr6_152069025_152069436	ESR1 (+378735), SYNE1 (+568168)
chr7_53121526_53121838	POM121L12 (+86040)
chr9_1647851_1648403	SMARCA2 (-373818), DMRT2 (+597773)
chr6_150695975_150696658	PLEKHG1 (-24771), IYD (+327425)
chr4_87128157_87128776	KLHL8 (+92141), AFF1 (+193465)
chr12_111816165_111816465	MAPKAPK5 (-26311), ALDH2 (+49393)
chr6_1850671_1851168	FOXC1 (+240948), GMDS (+394772)
chrX_148845720_148846113	AFF2 (+345298), IDS (+659430)
chr2_115237811_115238293	DPP10 (+76450)
chr9_120166302_120166728	BRINP1 (-797048), CDK5RAP2 (+413643)
chr5_62900773_62901202	LRRC70 (+322253)
chr4_159863258_159863657	RAPGEF2 (+595721)
chr8_103463307_103463862	SLC25A32 (-48481), RIMS2 (-37163)
chrX_47676050_47676600	ZNF81 (-160577), UXT (-17208)
chr11_117388276_117388820	CEP164 (+60693), DSCAML1 (+408713)
chr11_73942112_73942423	COA4 (-65280), DNAJB13 (-8051)
chr15_53862170_53862734	UNC13C (-150452), WDR72 (-99574)
chr16_9279313_9279730	C16orf72 (+187874), GRIN2A (+903232)
chr1_171192970_171193308	FMO1 (-64818), FMO2 (+7931)
chr5_152004325_152004758	GLRA1 (-79706), NMUR2 (+400737)
chr12_31808060_31808692	BICD1 (-298853), H3F3C (-16135)
chr10_12685630_12686070	CCDC3 (+315847), CAMK1D (+336368)
chr12_64998589_64999059	WIF1 (+122742), TBC1D30 (+174252)
chr5_14954715_14955256	FBXL7 (-545210), ANKH (-83208)
chr22_35055761_35056298	ISX (-10106)
chr3_184796611_184797036	MAGEF1 (-84822), VPS8 (-15383)
chr3_136778922_136779397	SLC35G2 (-39859), STAG1 (-26792)
chr16_12324301_12324718	SNX29 (+347772), CPPED1 (+479507)
chr19_49949825_49950188	IL4I1 (-20468), SIGLEC11 (+11165)
chr6_160285613_160286066	SLC22A3 (-62428), SLC22A2 (-26824)
chr17_37210223_37210711	C17orf78 (-165576), AATF (+261592)
chr6_75437509_75438064	TMEM30A (-152819), FILIP1 (+55951)
chr20_6402013_6402322	BMP2 (-365496), FERMT1 (-278624)
chr9_68457437_68458351	TMEM252 (+82973), PGM5 (+100995)
chr17_72697647_72698142	SLC39A11 (+394793), SOX9 (+576875)
chr3_139859378_139859958	NMNAT3 (-181722), CLSTN2 (-75517)
chrX_9519924_9520488	TBL1X (+55198), GPR143 (+245758)
chr3_45067867_45068282	CLEC3B (+41892), CDCP1 (+78347)
chr22_30408913_30409415	ENSG00000249590 (-98)
chr7_91122461_91122964	FZD1 (-141651), CDK14 (+526216)
chr20_8960282_8960636	PLCB4 (-347341), PLCB1 (+828194)
chr10_107919853_107920257	SORCS1 (-755521)
chr6_148611391_148611986	UST (-135639), SASH1 (+269096)
chr11_87778381_87778986	RAB38 (+396783), TMEM135 (+740677)
chr20_8963443_8963745	PLCB4 (-344206), PLCB1 (+831329)
chr9_77813753_77814385	GNA14 (-165762), GNAQ (+217389)
chr3_121167541_121167857	STXBP5L (+259627), POLQ (+378307)
chr9_75611588_75611979	PCSK5 (-278860), OSTF1 (+523241)
chr10_42768934_42769369	ZNF33B (-130608), BMS1 (-13649)
chrX_2352373_2352762	ZBED1 (+148399), ASMT (+737567)
chr6_21241036_21241583	SOX4 (-351458), CDKAL1 (+706853)
chr8_29609154_29609851	DUSP4 (-258835), SARAF (+473704)
chr10_32197213_32197942	KIF5B (-141147), EPC1 (+149607)
chr18_65149503_65150057	CDH7 (-601141)
chr3_137679366_137679860	SOX14 (-84671), IL20RB (+721748)
chr1_112249503_112250027	KCND3 (-260610), CTTNBP2NL (-146416)
chr10_126391252_126391828	ADAM12 (-3085)
chr7_53303871_53304219	POM121L12 (+268403)
chr10_59091026_59091451	PHYHIPL (-85351), BICC1 (+578099)
chr8_53443977_53444324	OPRK1 (-192454), ATP6V1H (+399111)
chr1_94949964_94950375	CNN3 (-22892), ALG14 (+122775)
chr3_8173672_8174229	LMCD1 (-327756)
chr1_231187588_231188074	TRIM67 (+24861), C1orf131 (+53336)
chr14_66015204_66015758	GPHN (-491926), FUT8 (+604889)
chrX_16347947_16348758	S100G (-301805), GRPR (+224797)
chr9_94746298_94746829	FBP1 (-106315), C9orf3 (-13085)
